等级,法术名称,派系,施法时间,施法距离,法术成分,持续时间,专注,豁免,仪式,施法材料,法术说明,法术升阶,诗人,牧师,德鲁伊,圣武士,游侠,术士,邪术士,法师
6,Magic Jar 魔魂壶,死灵,1分钟,自身,V S M,直到解除,,魅力,,一块宝石、或一块水晶、或一个圣物箱、或其他的装饰过的容器，价值至少500gp,"你的身体陷入昏迷状态，而你的灵魂离开了你的身体进入了用作法术材料成分的容器之中。当你的灵魂处于容器中时，你能察觉附近的一切，如同你本人就在容器的位置一样。你不能移动也不能使用反应（reactions）。你唯一能做的动作就是将你的灵魂投射出容器至多100英尺——或者回到你仍活着的身体中去（并结束此法术），或者尝试占据另一个类人生物的身体。
你可以附身于任何距你100英尺以内你可见的人形生物（被“防护善恶”或“防护法阵”保护的生物无法被附身）。目标必须进行一次魅力豁免。若失败，则你的灵魂进入目标的身体，而目标的灵魂被困在容器中；若成功，则目标抵抗了你的附身，且在24小时内你不能再次尝试附身该生物。
一旦你成功占据一个生物的身体，你就可以控制它。用该生物的游戏数据替换掉你的游戏数据，但你仍保留你自己的阵营和智力、感知、魅力属性值。你保留你自己的职业特性带来的好处。即使目标有职业等级，你也无法使用它的任何职业特性。
同时，被附身生物的灵魂可以用它自己的感官从容器内部观察外部，但它完全不能移动，也不能使用动作。
当你附身于一具躯体时，如果容器在你身边100英尺范围内，则你可以使用你的一个动作从宿主的身体回到容器中，并让宿主的灵魂回到它自己的身体里。如果当你处于宿主的身体中时，宿主的身体死亡，则你必须进行一次魅力豁免对抗你自己的法术豁免DC。若成功，且容器距你不超过100英尺，则你回到容器内。否则你死亡。
如果容器被毁或者法术结束，你的灵魂会立刻回到你自己的身体里。如果你在尝试回到自己的身体时，你的身体距你超过100英尺或者你的身体已死，则你死亡。如果容器被毁时另一个生物的灵魂在容器内，且该生物的身体仍然活着且距它不超过100英尺，则它的灵魂会回到它的身体里。否则该生物死亡。
当此法术结束时，容器会损毁。",,,,,,,,,法师
1,Magic Missile 魔法飞弹,塑能,1个动作,120尺,V S,立即,,,,,你制造出3个由魔法力场形成的闪闪发光的飞镖。每支飞镖均会击中射程内你可见的由你选择的生物。每支飞镖对目标造成1d4+1点力场伤害。所有飞镖同时击中目标，并且你可以指定它们击中同一个目标或是分别击中几个目标。,当你使用2环或更高的法术位施展此法术时，你使用的法术位每比1环高1环，此法术就会多制造出1支飞镖。,,,,,,术士,,法师
2,Magic Mouth 魔嘴术,幻术,1分钟,30尺,V S M,直到解除,,,仪式,一小块蜂窝和翡翠粉，价值至少10gp，法术会消耗这些材料,"你将一段信息植入射程内的一个物体中，当满足预设的条件时，信息会被说出。首先你选择一个你可见且未被另一个生物穿戴或携带的物体。然后说出一段信息，该信息不能超过25个字，你最多可以花10分钟来传达完这段信息。最后设定用来触发法术传达信息的事件。
当预设的事件发生时，目标物体上会出现一张有魔力的嘴，它会用与你相同的声音和音量复述出存储的信息。如果你选择的目标本身有一张嘴或者嘴的类似物（例如雕像的嘴），则这张有魔力的嘴会出现在物体本身的嘴的位置，看起来如同是物体的嘴在说话一般。当你施展此法术时，你可以让法术在传达过信息后即结束，或者也可以让法术一直持续并且每当预设条件被触发时信息都会被复述出来。
触发条件可以很笼统也可以很具体，由你决定，但你只能根据目标物体30英尺范围内的视觉或听觉状况来设定条件。例如，你可以命令魔嘴在任何生物移动至物体30英尺范围内时即说出信息，或者当30英尺内有银铃响起时说出信息。",,诗人,,,,,,,法师
2,Magic Weapon 魔化武器,变化,1个附加动作,接触,V S,1小时,专注,,,,你接触一件非魔法武器，直到法术结束前，该武器变为魔法武器，在攻击骰和伤害骰上具有+1加值。,当你使用4环或更高的法术位施展此法术时，加值增加至+2。当你使用6环或更高的法术位施展此法术时，加值增加至+3。,,,,圣武士,,,,法师
3,Major Image 强效幻影,幻术,1个动作,120尺,V S M,10分钟,专注,智力,,一点羊毛,"你创造一个大小不超过边长20英尺的立方体的物体或生物或其他可视效果的幻象。幻象在射程内你可见的一个位置出现并在法术持续时间内始终存在。它看起来完全是真实的，并且有声音、气味和合适的温度。你不能创造出足以造成伤害的酷热或严寒，也不能创造出音量大到足以造成雷鸣伤害或者震聋某个生物的声响，同样不能创造出会使生物恶心的气味（例如战蜥人的恶臭）。
只要你在此幻术的射程之内，你就可以使用你的动作将幻象移动到射程内的另一个位置。当幻象改变位置时，你可以改变幻象的外表来使它移动得更自然。例如，如果你创造了一个生物的幻象并移动了它，你可以改变幻象，使它看起来就像是在走路。类似地，你可以让幻象在不同的时间发出不同的声音，甚至可以让它参与一场对话。
与幻象进行物理交互会暴露它是幻象的本质，因为物体可以穿过它。一个使用它的动作来调查幻象的生物若成功通过一次对抗你的法术豁免DC的智力（调查）检定，则会判断出这是个幻象。如果一个生物辨别出了幻象，则这个生物可以看穿该幻象，并且幻象的其他感官效果对该生物来讲会变得微弱而模糊。",当你使用6环或更高的法术位施展此法术时，法术会持续直到解除，不需要你保持专注。,诗人,,,,,术士,邪术士,法师
5,Mass Cure Wounds 群体治疗伤口,咒法,1个动作,60尺,V S ,立即,,,,,一波治愈的能量从射程内你选择的一点奔涌而出。选择以该点为中心30英尺半径球体范围内的至多6个生物，每个目标都会回复3d8+你的施法关键属性调整值点hp。此法术对不死生物和构装生物无效。,当你使用6环或更高的法术位施展此法术时，你使用的法术位每比5环高1环，治疗量就增加1d8。,诗人,牧师,德鲁伊,,,,,
9,Mass Heal 群体医疗术,咒法,1个动作,60尺,V S,立即,,,,,泉涌般的治愈的能量从你流向你周围受伤的生物。你可以为射程内任意数量的你可见的生物回复共计至多700点hp，治疗量由你随意分配。被此法术所治疗的生物的所有疾病和会导致它们目盲或耳聋的状态也一并被治愈。此法术对不死生物和构装生物无效。,,,牧师,,,,,,
3,Mass Healing Word 群体治愈真言,塑能,1个动作,60尺,V,立即,,,,,你大声吟诵出复原的真言。射程内至多6个由你选择的你可见的生物均会回复1d4+你的施法关键属性调整值点hp。此法术对不死生物和构装生物无效。,当你使用4环或更高的法术位施展此法术时，你使用的法术位每比3环高1环，治疗量就增加1d4。,,牧师,,,,,,
6,Mass Suggestion 群体暗示术,附魔,1个动作,60尺,V M,24小时,,,,一条蛇的舌头外加一小块蜂巢或一滴橄榄油,"你以魔法影响射程内至多12个生物，目标由你选择且必须能听到你并理解你，你暗示它们（至多一两句话）进行某种活动。不能被魅惑的生物免疫此效果。你的暗示言辞必须能让那种活动听起来合情合理。要求生物刺伤它自己、让它自己撞到矛尖上、让它自杀、或是让它做任何明显有害的行为都会使法术自动失效。
每个目标必须进行一次感知豁免，若失败，则它会尽其所能地从事你描述的那种活动。你所暗示的活动可能会在法术持续时间内始终进行。如果你所暗示的活动可以用更短的时间完成，则此法术会在目标完成了你要求它完成的事的时候结束。
你也可以设定在持续时间内的某一种特定条件来触发特殊的行为。例如，你可能会暗示一队士兵将所有的钱交给他们遇到的第一个乞丐。如果在法术结束前条件始终没有满足，则指定的行为不会被执行。
如果你或你同伴中的任何人伤害了一个被此法术影响的生物，则该生物身上的法术效果结束。",当你使用7环的法术位施展此法术时，持续时间变为10天。当你使用8环的法术位施展此法术时，持续时间变为30天。当你使用9环的法术位施展此法术时，持续时间变为1年零1天。,诗人,,,,,术士,邪术士,法师
8,Mazz 迷宫术,咒法,1个动作,60尺,V S,10分钟,专注,,,,"你将射程内一个你可见的生物放逐到一个迷宫般错综复杂的半位面。目标一直留在该处直到法术持续时间结束，或者直到它逃出迷宫。
目标可以使用它的动作尝试逃出迷宫。当它尝试逃脱时，它进行一次DC为20的智力检定，若成功则它逃出迷宫，并且法术结束（牛头人（minotaur）和巨牛魔（goristro demon）检定自动成功）。
当此法术结束时，目标重新出现在它之前离开的位置。如果该位置被占据，则目标出现在最近的未被占据的位置。",,,,,,,,,法师
3,Meld into Stone 融身入石,变化,1个动作,接触,V S,8小时,,,仪式,,"你进入一个大到能完全容纳你的身体的石制物体或石材表面内，使你自己和你携带的所有装备在法术持续时间内与石头融为一体。你可以使用你的移动力（movement）从一个你能接触到的位置进入石头中。任何非魔法感官都无法看到或侦测到你的存在到。
与石头融合后，你看不到外界发生了什么，并且你为了聆听外界声音而进行的任何感知（察觉）检定都获得劣势。当与石头融合时，你仍能感觉到时间的流逝，也可以对你自己施展法术。你可以使用你的移动力（movement）从你进入石头的地方离开石头，这会使法术终止；除此之外你无法移动。
石头受到的轻微损伤不会对你造成伤害，但石头的部分损毁或者形状的改变（改变到不再适合容纳你的程度）会将你排出石头并对你造成6d6点钝击伤害。石头的完全损毁（或材质的改变）会将你排出石头并对你造成50点钝击伤害。如果你被排出石头，你会摔倒在距你先前进入石头处最近的位置。",,,牧师,德鲁伊,,,,,
2,Melf's Acid Arrow 马友夫强酸箭,塑能,1个动作,90尺,V S M,立即,,,,大黄叶的粉末和一个蝰蛇的胃,一支闪烁的绿色箭矢迅疾飞向射程内的一个目标，并爆散成酸雾。对目标进行一次远程法术攻击，若命中，则目标立即受到4d4点强酸伤害并在它的下一回合结束时受到2d4点强酸伤害。若未命中，则酸液箭矢溅射到了目标，造成初始伤害一半的伤害，并且不会在下一回合结束时造成伤害。,当你使用3环或更高的法术位施展此法术时，你使用的法术位每比2环高1环，初始伤害和后续伤害就各增加1d4。,,,,,,,,法师
0,Mending 修复术,变化,1分钟,接触,V S M,立即,,,,两块天然磁石,"此法术会修复你接触的一件物体上的一处破损或裂缝，例如修复一条断裂的链条、一把碎成两半的钥匙、一件撕裂的斗篷、或一个漏了的酒袋。只要破损或断裂处在任意方向上都不超过1英尺，你就可以不留痕迹地修复它。
此法术可以从物理上修复一件魔法物品或构装体，但不会恢复这类物品上的魔法。",,诗人,牧师,德鲁伊,,,术士,,法师
0,Message 传讯术,变化,1个动作,120尺,V S M,1轮,,,,一小截铜线,"你用手指指向射程内的一个生物并低声说出一段信息。目标（且只有目标）会听到这段信息并可以用只有你能听见的低语回复你。
你可以隔着固体障碍物施展此法术，只要你熟悉法术的目标且知道它就在障碍物后。魔法沉默、1英尺厚的石头、1英寸厚的金属、一片薄铅片、或者3英尺厚的木头均会阻挡住此法术。此法术不需要直线传递信息，它可以自由地拐过拐角或穿过孔洞。
",,诗人,,,,,术士,,法师
9,Meteor Swarm 流星爆,塑能,1个动作,1英里,V S,立即,,敏捷,,,"熊熊燃烧的流星垂直坠落在射程内你可见的4个不同点的地面上。以你所选择的每一个点为中心的40英尺球体范围内的每个生物都必须进行一次敏捷豁免。该球体会扩散过拐角。生物豁免失败，则受到20d6点火焰伤害和20d6点钝击伤害，成功则伤害减半。同时处于多个爆炸范围内的生物只会受到一次影响。
此法术会对区域内的物体造成伤害并点燃所有未被穿戴或携带的易燃物。",,,,,,,术士,,法师
8,Mind Blank 心灵屏障,防护,1个动作,接触,V S,24小时,,,,,直到法术结束前，你接触的一个自愿生物对心灵伤害、任何可以感知到它的情绪或阅读它思想的效果、预言法术、以及魅惑状态免疫。此法术甚至可以阻挡“祈愿术”以及有类似作用的用来影响目标的心灵或获取目标信息的法术和效果。,,诗人,,,,,,,法师
0,Minor Illusion 弱效幻影,幻术,1个动作,30尺,S M,1分钟,,智力,,一点羊毛,"你在射程内创造一段声音或一个物体的幻象，持续直到法术持续时间结束。如果你使用一个动作解消幻象或者再次施展此法术，幻术同样会终止。
如果你创造了一段声音，它的音量范围可以从耳语到尖叫。它可以是你的声音、别人的声音、一头狮子的咆哮、一段鼓点、或者任何你选择的其它声响。声音在持续时间内不会减弱，或者你也可以于法术结束前在不同的时间点创造离散的声音。
如果你创造一个物体的幻象——例如一把椅子、泥泞的脚印、或者一个小箱子——该物体大小不得大于一个边长5英尺的立方体。该幻象不能制造声音、亮光、味道、或任何其他的感官效果。与幻象进行物理交互会揭露它是幻象的本质，因为物体可以穿过它。
如果一个生物使用它的动作调查声音或幻象，并成功通过了一次对抗你法术豁免DC的智力（调查）检定，它就可以判断出这是幻术。如果一个生物看穿了幻术的本质，这个幻象对于它就会变得模糊不清。",,诗人,,,,,术士,邪术士,法师
7,Mirage Arcane 海市蜃楼,幻术,10分钟,可视范围内,V S,10天,,,,,"你使最多1英里见方区域内的地形在视觉、听觉、嗅觉、甚至触觉上都像是某种其它的地形，但地形的大致形状保持不变。开阔的平原或者一条路可能会像一片湿地、一座小山、一个裂谷、或者其它困难或无法通行的地形。一个池塘可能像是一片茂盛的草地，一个悬崖可能像是一个缓坡，或者，一个乱石沟可能像是一条宽阔平坦的路。
类似地，你可以改变建筑物的外观，或者在本来没有建筑物的地方添上建筑物。此法术不会伪装、隐藏或增添生物。
此幻术包括听觉、视觉、触觉和嗅觉元素，所以它可以把空旷的地面变成困难地形（或者反过来）或者变成无法通行的区域。幻象地形的任何一小部分（例如一块石头或者一根树枝）在被移动到法术区域之外时都会立刻消失。
拥有真实视觉（truesight）的生物可以看穿幻术，洞悉地形的真实形态；然而幻象的所有其它元素仍然保留，所以尽管生物意识到这是幻象，它仍然可以与幻象进行物理交互。
",,诗人,,德鲁伊,,,,,法师
2,Mirror Image 镜影术,幻术,1个动作,自身,V S ,1分钟,,,,,"三个你自己的幻象假体出现在你的位置。直到法术结束前，假体会随你移动、模仿你的动作并变换位置，所以无法追踪判断哪一个是你的真身。你可以使用你的动作解消这些幻象假体。
在法术持续时间内，每当一个生物以你为攻击目标时，骰一个d20决定该次攻击击中的是否是假体。
如果你有3个假体，你必须骰出6或更高才能使目标的攻击命中假体。如果你有2个假体，你必须骰出8或更高。如果你有1个假体，你必须骰出11或更高。
假体的AC等于10+你的敏捷调整值。如果一次攻击命中了一个假体，该假体就被摧毁。假体只会被一次命中它的攻击摧毁，它无视所有其他伤害和效果。当三个假体全部被毁时，此法术结束。
如果一个生物无法视物，或者它依靠其它感官例如盲视，或者它可以如同真实视觉一样洞察幻象，则此法术无法影响该生物。",,,,,,,术士,邪术士,法师
5,Mislead 假象术,幻术,1个动作,自身,S,1小时,专注,,,,"你变为隐形，同时在你站的地方出现一个和你一样的幻象复制体。复制体会持续存在直到持续时间结束；但如果你攻击或施展了一个法术，则隐形效果会终止。
你可以使用你的动作将复制体以至多两倍于你的速度移动，并且可以让他打手势、说话，以及以任何你选择的方式行事。
你可以通过复制体的眼睛视物，用复制体的耳朵聆听，如同你处于它的位置一样。在你的每个回合内，作为一个附赠动作，你可以从它的感官切换回你的感官，或者再切换回去。当你使用它的感官时，你本人对你周围的事物是目盲且耳聋的。",,诗人,,,,,,,法师
2,Misty Step 迷踪步,咒法,1个附加动作,自身,S,立即,,,,,你短暂地被银白的雾气所笼罩，传送到至多30英尺内一个你可见的未被占据的位置,,,,,,,术士,邪术士,法师
5,Modify Memory 修改记忆,附魔,1个动作,30尺,V S,1分钟,专注,感知,,,"你尝试重塑另一个生物的记忆。你可见的一个指定生物必须进行一次感知豁免。如果你正在与该生物战斗，则它在此豁免中获得优势。若它豁免失败，它会在法术持续时间内被你魅惑。被魅惑的目标进入乏力（incapacitated）状态，并且无法感知周围的事物，但它仍然能听到你。如果它受到任何伤害或者成为了另一个法术的目标，则此法术结束，并且目标的记忆不会被修改。
当魅惑效果持续时，你可以改变目标关于过去24小时内经历的一件事的不超过10分钟的记忆。你可以永久地消除所有关于该事件的记忆，也可以让目标完美清晰地回忆起该事件的所有细节，也可以改变目标关于该事件细节的记忆，或者创造一段关于其他事情的记忆。
你必须通过话语来描述如何改变目标的记忆，并且目标必须能够听懂你的语言以便你植入被改变后的记忆。目标的意识会将你的描述中所有细节上的漏洞填补完全。如果法术在你描述完被修改的记忆前就结束，目标的记忆不会被改变；否则修改过的记忆会在法术结束时根植于目标心中。
修改过的记忆不一定会影响生物的行为，特别是当修改后的记忆违背了目标的天性、阵营或信仰时。一段不合逻辑的记忆，例如你灌输给目标关于它有多么享受在强酸液中泡澡的记忆，会被目标忽视；目标可能会认为这些记忆只是一个噩梦。DM可能会认为某段修改过的记忆太过荒谬，从而不能影响生物的关键行为。
对目标施展“移除诅咒”或“高级复原术”可以恢复目标的真实记忆。",如果你使用6环或更高的法术位施展此法术，你可以改变目标关于过去7天内（6环）、30天内（7环）、1年内（8环）或者在过去任意时刻（9环）发生的事件的记忆。,诗人,,,,,,,法师
2,Moonbeam 月华之光,塑能,1个动作,120尺,V S M,1分钟,专注,体质,,几粒月籽藤的种子和一块乳白色的长石,"一束淡淡的银光洒在以射程内一点为中心，5英尺半径、40英尺高的圆柱区域内。直到法术结束前，圆柱区域内充满微光（dim light）。
当一个生物在某一回合第一次进入法术区域，或在法术区域内开始它的回合时，它被幽灵般的火焰吞噬，火焰会引起剧烈的灼痛。该生物必须进行一次体质豁免，若失败则受到2d10点光耀伤害，成功则伤害减半。
变形者（shapechanger）进行此豁免时获得劣势，并且如果它豁免失败，它会立即回复它的原始形态，在它离开此法术的光亮之前它都不可以变形成其他形态。
在你施展此法术之后的每一回合，你都可以使用一个动作将此华光向任意方向移动60英尺。",当你使用3环或更高的法术位施展此法术时，你使用的法术位每比2环高1环，伤害就增加1d10。,,,德鲁伊,,,,,
4,Mordenkainen’s Faithful Hound 魔邓肯忠犬,咒法,1个动作,30尺,V S M,8小时,,,,一只微型银质哨子、一块骨头和一根线,"你在射程内你可见的一个未被占据的位置创造出一只幻影守护犬，它会在持续时间内留在原地，直到你使用一个动作将它解消或者移动到距它100英尺以外。
守护犬对除你之外的任何生物都是隐形的，并且无法被伤害。当一个小型或更大的生物来到距它30英尺内，且没有说出你在施展此法术时设定的口令时，守护犬就会开始大声吠叫。守护犬可以看到隐形生物并且可以观察到灵界，它会无视幻术。
在你的每回合开始时，守护犬会试图啮咬处于它5英尺内对你敌对的生物。它的攻击加值等于你的施法关键属性调整值+你的熟练加值。若命中，它会造成4d8点穿刺伤害。",,,,,,,,,法师
7,Mordenkainen’s Magnificent Mansion 魔邓肯豪宅,咒法,1分钟,300尺,V S M,24小时,,,,一个象牙雕琢的拱门小模型、一块打磨过的大理石和一把微型银汤匙，每件物品价值至少5gp,"你在射程内创造出一个异次元的居所，在持续时间内一直存在。它唯一的入口位置由你指定。入口5英尺宽、10英尺高，微微发光。只要入口保持开启，你和你施展此法术时指定的任意生物就可以进入这个异次元居所。如果你距入口30英尺以内，你就可以开启或关闭入口。当被关闭后，入口即隐形。
入口向里是一个连接有许多房间的华丽大厅。房间内空气洁净清新而温暖。
你可以创造出任意你喜欢的房间构造，但总体积不得超过50个立方体，每个立方体边长10英尺。房间内依你的喜好配置好了家具和装饰，并且有充足的食物用来做一顿九道菜的大餐或供应至多100个人。100个近乎透明的仆人会招待任何进入房间的人。这些仆人的外观和衣着由你决定，它们会完全服从你的命令。每个仆人都可以完成一个正常人可以完成的任务，但它们不能攻击或者采取任何会直接伤害其他生物的行动。因而仆人可以完成的工作包括取来物品、清洁、修理、叠衣服、生火、上菜、倒酒等等。仆人可以去豪宅中的任何地方，但不能里开宅子。由此法术创造的家具和其他物品如果被移出豪宅，就会消散成烟雾。当此法术结束时，任何处于此异次元空间内的生物会被排出至距离入口最近的空地。",,诗人,,,,,,,法师
4,Mordenkainen’s Private Sanctum 魔邓肯密室,防护,10分钟,120尺,V S M,24小时,,,,一片薄铅片、一块不透明的玻璃、一小块棉花或布料和贵橄榄石粉末,"你以魔法保护射程内一片区域的安全。该区域为一个立方体区域，小至边长5英尺，大至边长100英尺。此法术一直持续到持续时间结束或者你使用一个动作解消了它。
当你施展此法术时，你决定此法术提供何种安全防护，从以下几种特性中选择一部分或全部：
· 声音不能透过被保护区域边缘处的障壁
· 被保护区域的障壁变得黑暗而模糊，无法通过视觉（包括黑暗视觉）看穿。
· 预言法术创造的感知触点（sensor）无法出现在被保护的区域内部，也无法穿过区域边界处的障壁。
· 区域内的生物不能成为预言法术的目标。
· 任何事物无法传送进出被保护的区域。
· 在被保护的区域内，位面旅行被封锁。
每天在同一个位置施展此法术，持续一年，会使这些效果成为永久性效果。",当你使用5环或更高的法术位施展此法术时，你使用的法术位每比4环高1环，你就可以将被保护的立方体区域边长增加100英尺。因此若你使用5环法术位，你就能保护至多200英尺边长的立方体区域。,,,,,,,,法师
7,Mordenkainen’s Sword 魔邓肯之剑,塑能,1个动作,60尺,V S M,1分钟,专注,,,一把剑柄和柄端由铜与锌打造的微缩白金剑，价值250gp,"你在射程内制造出一个闪闪发光的剑形力场，在持续时间内一直存在。
当此剑出现时，你对距离剑5英尺内的一个由你选择的目标进行一次近战法术攻击。若命中，则目标受到3d10点力场伤害。直到法术结束前，在你的每个回合你都可以使用一个附赠动作将剑移动至多20英尺到一个你可见的点，并且对同一目标或者不同的目标重复此种攻击。",,诗人,,,,,,,法师
6,Move Earth 移土术,变化,1个动作,120尺,V S M,2小时,专注,,,一把铁刃以及一个小袋子，内装混合的各种泥土——黏土、壤土和沙土,"选择射程内不大于40英尺见方的一片地面区域，你可以以任何方式重塑区域内的泥土、沙土或黏土。你可以升高或降低区域内的地面高度，制造或填平一道沟渠，升起或夷平一座山丘，或者塑造一根立柱。这些地形的改变范围在长度上不得超过整个区域最长边长的一半。所以，如果你影响了40英尺见方的区域，你可以创造一根至多20英尺高的立柱，将地面升高或降低至多20英尺，挖一条至多20英尺深的壕沟，等等。这些改变需要10分钟来完成。
每当你为此法术维持了10分钟专注后，你可以选择一片新的地面区域施加影响。
由于地面的变化发生得很缓慢，区域内的生物通常不会被地面的移动困住或者受伤。
此法术无法改变天然的岩石或石制建筑。石头和建筑会被改变以适应新的地形。如果你改变地形的方式会使得建筑不稳定，则它有可能倒塌。
类似地，此法术无法直接影响植物生长。被移动的土壤会带走任何生长在上面的植物。",,,,德鲁伊,,,术士,,法师
3,Nondetection 回避侦测,防护,1个动作,接触,V S M,8小时,,,,一撮价值至少25gp的钻石粉末，撒在目标身上。法术会消耗这些材料,在持续时间内，你将你接触的一个目标隐藏起来，遮断了预言魔法的侦测。目标可以是一个自愿生物或一个地方或一个在各个方向上都不超过10英尺的物体。在持续时间内，目标不能成为预言魔法的目标，也不能通过魔法占卜手段被察觉到。,,诗人,,,,游侠,,,法师
2,Nystul’s Magic Aura 涅斯图魔法灵光,幻术,1个动作,接触,V S M,24小时,,,,一小块方形丝绸,"你在你接触的一个生物或一个物体上设置一个幻术，使得预言法术会揭示出关于该目标的错误信息。目标可以是一个自愿生物或者是一个未被其他生物携带或穿戴的物体。
当你施展此法术时，选择下列效果中的一个或两个。效果在持续时间内一直存在。如果你每天都对同一个生物或物体施展此法术且每次都选择相同的效果，持续30天，幻术就会一直存在直到被解除。
虚假灵光：你改变目标向可以侦测出魔法灵光的法术和魔法效果（例如“侦测魔法”）显示信息时的方式。你可以使一个非魔法物体显示出魔法，一个魔法物体显示出非魔法；或者改变物体的魔法灵光，使它显示出由你选择的特定魔法学派的灵光。当你对物体设置此效果时，你可以使这种虚假的魔法向任何使用此物品的生物显示出来。
伪装：你改变目标向侦测生物类别的法术和魔法效果（例如圣武士的“神圣感知”或“徽记术”的触发条件）显示信息时的方式。你选择一种生物类别｛译者：看后面的意思应该是漏了设定阵营｝，其他的法术和魔法效果会认为生物属于该类别或者属于该阵营。",,,,,,,,,法师
6,Otiluke’s Freezing Sphere 欧提路克冰封法球,塑能,1个动作,300尺,V S M,立即,,体质,,一个小水晶球,"一个寒冷的冰球从你的指尖飞向射程内由你选择的一点，并在该点爆散至60英尺半径的球体范围。每个在该区域内的生物都必须进行一次体质豁免，若失败则受到10d6寒冷伤害，成功则伤害减半。
如果冰球击中了水或主要由水组成的液体（不包括水基生物），它会将30英尺见方区域内的液体冻结6英寸深。冰冻会持续1分钟。正在冰冻的水面游泳的生物会被困在冰里。被困生物可以使用一个动作进行一次力量检定对抗你的法术豁免DC以破冰而出。
如果你愿意，你可以在完成此法术后暂不发射冰球。而一个大小与投石索弹丸相仿的、摸起来微凉的小球会出现在你手中。在任意时刻，你或者其他持有你给予的冰球的生物可以掷出冰球（射程40英尺）或者用投石索投出冰球（射程与投石索的正常射程（normal range）相同）。冰球会在遭受冲击后粉碎，产生与正常施展此法术相同的效果。你也可以将冰球放下而不打碎它。1分钟之后，如果冰球没有破碎，则它会爆炸。",当你使用7环或更高的法术位施展此法术时，你使用的法术位每比6环高1环，伤害就增加1d6。,,,,,,,,法师
4,Otiluke’s Resilient Sphere 欧提路克弹力法球,塑能,1个动作,30尺,V S M,1分钟,专注,敏捷,,一块透明的半球形水晶和一块与之形状相配的半球形阿拉伯胶,"一个微微发光的力场球将射程内一个大型或更小的生物或物体封在其中。一个非自愿的生物必须进行一次敏捷检定，若失败则该生物在法术持续时间内被关封在球体中。
任何事物——物体、能量或其它法术效果——都不能穿入或穿出力场球的障壁，但球内的生物可以呼吸。球体免疫一切伤害，并且球内的生物或物体不能被来自球外的攻击或效果所伤害，球内的生物也不能对球外的事物造成伤害。
该球体没有重量，而且尺寸刚好大到可以容纳球内的生物或物体。被封住的生物可以使用它的动作来推动球壁从而可以以该生物速度的一半滚动球体。类似地，球体可以被其他生物拿起或移动。
对球体施展的“解离术”可以摧毁球体而不伤害球体内的任何事物。",,,,,,,,,法师
6,Otto’s Irresistible Dance 奥图迷舞,附魔,1个动作,30尺,V,1分钟,专注,感知,,,"选择射程内你可见的一个生物。该生物会在原地跳起滑稽的舞蹈：它会在持续时间内曳步、跺脚、欢蹦乱跳。不会被魅惑的生物免疫此法术。
一个正在跳舞的生物必须用掉它全部的移动力在原地跳舞，它在敏捷豁免和攻击骰中获得劣势。当目标被此法术影响时，其它生物在对目标的攻击骰中获得优势。一个跳舞的生物可以使用一个动作进行一次感知豁免，若豁免成功则法术结束。
",,诗人,,,,,,,法师
2,Pass without Trace 踏雪无痕,防护,1个动作,自身,V S M,1小时,专注,,,一片槲寄生叶子烧成的灰和一小枝云杉,从你身上辐射出阴影和沉默的幕障，从探测中遮掩你和你的同伴。在法术持续时间内，距你30尺范围内每个你指定的生物（包括你）有敏捷（潜行）检定+10加值，并且不能被除魔法手段以外的方法追踪。拥有此加值的生物走过的地方不会留下足迹或其他痕迹。,,,,德鲁伊,,游侠,,,
5,Passwall 穿墙术,变化,1个动作,30尺,V S M,1小时,,,,一撮芝麻,"一条通道在射程内你能看到的木头、灰泥或石头表面（比如一面墙、屋顶或地面）上你指定的点上出现并在法术持续时间内存在。你指定开口的尺寸：至多5尺宽，8尺高和20尺深。通道不会造成它周围结构的不稳定。
当开口消失时，任何还在此法术制造的通道中的生物或物体会被安全的弹出到距你施法的表面最近的未占据空间。",,,,,,,,,法师
2,Phantasmal Force 幻象之力,幻术,1个动作,60尺,V S M,1分钟,专注,智力,,一点羊毛,"你制造一个根植于射程内你能看到的生物的意识中的孰能幻像。目标必须通过一次智力豁免。目标豁免失败时，在法术持续时间内你制造一个不大于10尺立方并且只能被目标感知到的幻影物体、生物或其他你指定的可见现象。此法术对不死生物和构装生物无效。
这个幻像包括声音、温度和其他刺激，同样只对目标明显。
目标可以用他的动作通过一次智力（调查）检定对抗你的法术豁免DC来调查这个幻像。如果检定成功，目标意识到这个幻像是一个幻术，并且法术结束。
当目标被法术影响时，目标认为幻像是真实的。目标会合理化任何与幻像互动产生的不合逻辑的结果。例如，一个试图走过一座跨过峡谷的幻影桥的生物一踏上桥就会坠落。如果目标从坠落中幸存，它仍相信桥是存在的并且会提出对它坠落的一些其他解释——它被推了一把，它滑倒了，或者一阵强风可能把他吹下来了。
一个被影响的目标对幻像的真实性深信不疑，以至于它会从幻影中受到伤害。一个生物样子的幻像可以攻击目标。类似的，一个表现为火焰、一池酸液或岩浆可以烧伤目标。在你的每一回合，当目标在幻象的范围或距它5尺以内，一个生物或其他能合理造成伤害的危险，比如攻击，的幻象可以对目标造成1d6心灵伤害。目标感觉伤害是与幻像相符的类型。",,诗人,,,,,术士,,法师
